,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/3,/intelcpu/0/load/4,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/temperature/3,/intelcpu/0/temperature/4,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/clock/3,/intelcpu/0/clock/4,/intelcpu/0/power/0,/intelcpu/0/power/1,/intelcpu/0/power/2,/intelcpu/0/power/3,,/intelcpu/0/clock/0,/ram/load/0,/ram/data/0,/ram/data/1,/hdd/0/temperature/0,/hdd/0/load/0
Time,CPU Core #1,CPU Core #2,CPU Core #3,CPU Core #4,CPU Total,CPU Core #1,CPU Core #2,CPU Core #3,CPU Core #4,CPU Package,CPU Core #1,CPU Core #2,CPU Core #3,CPU Core #4,CPU Package,CPU Cores,CPU Graphics,CPU DRAM,Total Power,Bus Speed,Memory,Used Memory,Available Memory,Temperature,Used Space
05-03-2024 16:42,11.5384579,0.7692337,0,0.78125,3.27223539,50,47,48,51,56,1201.37268,1201.37268,1201.37268,1201.37268,5.841691,1.16762435,1.26550615,0,8.2748215,100.114395,50.5572777,7.936901,7.76192856,43,27.4021912
05-03-2024 16:42,16.1538486,0,0,0.7692337,4.23077345,49,48,49,50,56,1201.37073,1101.25659,1201.37073,1201.37073,5.99881554,1.21688759,1.2304132,0,8.44611633,100.114227,50.5594177,7.937237,7.761593,43,27.4021912
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,6.023029977,1.326191484,1.263642714,0,8.612864175,,,,,,
Test 2,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
05-03-2024 16:47,4.615384,0.793647766,0,0,1.3522625,40,39,40,42,48,1101.25635,1101.25635,1101.25635,1101.25635,3.09851027,0.892170131,0.038727645,0,,100.114212,47.4448357,7.448284,8.2505455,41,27.4031067
05-03-2024 16:47,6.25,0.793647766,0,0.78125,1.95622444,45,42,42,43,50,1201.37085,1201.37085,1101.25671,1201.37085,5.574509,1.13681972,1.22634125,0,,100.114243,50.5041847,7.928566,7.77026367,41,27.4031067
05-03-2024 16:47,8.4615345,0,0,0.78125,2.31069326,45,43,45,45,52,1201.37,1201.37,1201.37,1201.37,5.66014957,1.06564772,1.23843741,0,,100.114166,50.4684639,7.92295837,7.77587128,41,27.4031067
05-03-2024 16:47,7.8125,0,0,1.5625,2.34375,46,42,45,46,52,1101.257,1201.37122,1201.37122,1201.37122,5.58857727,1.09021378,1.24077785,0,,100.114273,50.6458,7.950798,7.74803162,41,27.4031219
05-03-2024 16:47,2.34375,3.13739777,0,0.7692337,1.56259537,45,44,46,46,54,1201.37036,1101.2561,1101.2561,1201.37036,5.69326162,1.12555873,1.23151362,0,,100.1142,50.40796,7.91346,7.78537,41,27.4031219
05-03-2024 16:47,10.15625,0.78125,0,0.7692337,2.92668343,46,45,47,47,53,1101.2572,1201.37146,1201.37146,1201.37146,5.701768,1.108467,1.26596367,0,,100.114288,50.3491554,7.904228,7.79460144,41,27.4031219
