,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/3,/intelcpu/0/load/4,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/temperature/3,/intelcpu/0/temperature/4,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/clock/3,/intelcpu/0/clock/4,/intelcpu/0/power/0,/intelcpu/0/power/1,/intelcpu/0/power/2,/intelcpu/0/power/3,,,/intelcpu/0/clock/0,/ram/load/0,/ram/data/0,/ram/data/1,/hdd/0/temperature/0,/hdd/0/load/0
Time,CPU Core #1,CPU Core #2,CPU Core #3,CPU Core #4,CPU Total,CPU Core #1,CPU Core #2,CPU Core #3,CPU Core #4,CPU Package,CPU Core #1,CPU Core #2,CPU Core #3,CPU Core #4,CPU Package,CPU Cores,CPU Graphics,CPU DRAM,,,Bus Speed,Memory,Used Memory,Available Memory,Temperature,Used Space
05-03-2024 01:20,0,0,6.25,0,1.5625,50,48,50,51,57,1201.37183,1301.48621,1301.48621,1201.37183,6.1040535,1.46176052,1.16664374,0,,,100.114319,53.7887878,8.44421,7.2546196,46,27.4188156
05-03-2024 01:21,0,0,4.615384,0.78125,1.34915709,51,49,51,51,57,1201.37158,1902.17175,1301.486,1701.94312,5.920546,1.407739,1.10303855,0,,,100.1143,53.786602,8.443867,7.254963,46,27.4188156
05-03-2024 01:21,0,0,3.174603,0,0.793647766,51,48,51,51,57,1401.59949,1802.05652,1501.71375,1401.59949,5.907411,1.45057583,1.10583138,0,,,100.11425,53.7866249,8.443871,7.254959,47,27.4188614
05-03-2024 01:21,0,0,10.0000019,0,2.49999762,51,48,52,51,58,1301.48584,1401.60022,1301.48584,1301.48584,6.379614,1.70679867,1.17593694,0,,,100.114296,53.7805252,8.442913,7.2559166,47,27.4188614
05-03-2024 01:21,0,0,6.153846,0,1.53846145,51,50,52,52,58,2102.4,1601.82849,1601.82849,1601.82849,5.876227,1.4044919,1.12593091,0,,,100.114281,53.7853851,8.443676,7.25515366,47,27.4188614
05-03-2024 01:21,0,0.7692337,3.8461566,0.7692337,1.346159,52,50,51,52,57,1301.48535,1201.37109,1401.59961,1101.25684,6.082258,1.48709655,1.1314472,0,,,100.114265,53.7779,8.442501,7.25632858,47,27.4187775
05-03-2024 01:21,0,0,4.6875,0,1.171875,51,49,50,53,58,1401.6001,1201.37146,1301.48584,1401.6001,5.87211227,1.41316533,1.12170541,0,,,100.114288,53.7724838,8.44165,7.25717926,47,27.4187775
05-03-2024 01:22,0,0,5.36130667,0,1.34032369,51,49,52,53,59,1902.16992,2302.62671,1201.37048,4605.25342,6.31475544,1.65672445,1.119169,0,,,100.114212,53.7941322,8.445049,7.25378036,47,27.4187775
05-03-2024 01:22,0.7692337,3.8461566,16.0256386,6.153846,6.69871569,61,52,69,57,69,4304.91553,4304.91553,4104.687,4304.91553,11.1805639,6.042489,1.48574662,0,,,100.114319,54.0375137,8.483257,7.21557236,48,27.4188156
05-03-2024 01:22,0,0,5.384612,0,1.346153,53,50,54,53,60,1802.05664,1301.48535,1802.05664,3103.542,6.07374334,1.497632,1.1073364,0,,,100.114258,53.99781,8.477024,7.22180557,48,27.4188156
05-03-2024 01:22,0,0,3.125,0,0.78125,51,50,54,53,59,3403.8855,1601.82849,1601.82849,1701.94275,6.08279276,1.50325787,1.12307179,0,,,100.114281,53.98617,8.475197,7.223633,48,27.4188156
05-03-2024 01:22,0,0,5.384612,0.78125,1.54146552,52,49,52,52,58,1601.829,1101.25745,1501.71472,1101.25745,5.915301,1.44286048,1.15688753,0,,,100.114311,53.99375,8.476387,7.22244263,49,27.418869
05-03-2024 01:22,0,0,3.03030014,0,0.757575035,51,49,51,53,58,1201.37122,1301.48547,1701.9425,1601.82825,5.967022,1.49319935,1.13164544,0,,,100.114265,53.9906158,8.475895,7.22293472,49,27.418869
05-03-2024 01:23,0,0.78125,5.29276752,0,1.51850581,53,50,53,53,59,1701.94275,1601.82849,3604.114,2302.62842,6.060481,1.57665217,1.1536597,0,,,100.114281,53.9840546,8.474865,7.22396469,49,27.418869
